minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations,type
4.49,5.79,4.2,9.0,1.06,3.7,3.99,452.41,85.87,0.8,188.22,10.83,64.61,52.87,0.0,4.2,348,density
2.03,5.52,10.51,9.0,1.0,6.31,4.3,469.89,108.2,0.88,206.1,11.17,64.47,54.47,0.0,54.47,1233,flow
2.36,5.74,14.16,9.0,0.92,7.16,4.07,455.11,96.51,0.81,186.5,11.27,65.63,53.69,0.0,11.27,2495,speed
1.37,5.76,13.5,9.0,0.89,7.38,4.2,446.46,94.19,0.82,178.52,11.3,65.52,54.43,0.0,11.3,3653,speed
3.55,5.28,12.14,9.0,0.8,8.0,4.0,429.81,82.59,0.77,161.83,11.26,65.53,53.78,0.0,-0.63,2862,fitness
2.26,5.24,7.87,9.0,0.96,5.26,4.2,447.96,95.69,0.82,184.71,10.92,64.33,53.75,0.0,-0.41,3955,fitness
2.04,5.54,7.42,9.0,0.96,7.02,4.28,441.46,93.42,0.82,179.95,10.93,63.93,54.04,0.0,-0.41,1927,fitness
2.04,5.54,7.42,9.0,0.96,7.02,4.28,441.46,93.42,0.82,179.95,10.93,63.93,54.04,0.0,-0.41,1927,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
4.05,5.58,4.67,9.0,0.93,5.84,4.06,428.9,76.4,0.78,164.84,11.08,64.54,54.02,0.0,-0.58,269,fitness
1.53,4.7,5.81,9.0,0.92,6.98,4.12,433.13,81.47,0.79,169.37,11.06,64.58,53.78,0.0,-0.52,255,fitness
1.51,5.06,6.98,9.0,1.0,6.53,4.09,444.79,92.68,0.79,180.94,10.91,64.78,52.51,0.0,-0.39,1039,fitness
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967,fitness
3.08,7.98,12.07,9.0,0.94,7.73,3.95,441.34,87.16,0.79,171.09,11.4,66.08,54.37,0.0,-1.76,6502,fitness
2.51,5.24,8.66,9.0,0.93,5.91,4.05,434.01,80.61,0.78,168.36,11.17,64.94,53.94,0.0,-1.52,856,fitness
2.34,5.51,13.87,9.0,0.95,5.73,4.06,444.29,89.19,0.81,177.57,11.22,65.23,54.29,0.0,-1.55,809,fitness
3.59,4.8,8.97,9.0,1.05,6.83,4.43,453.59,87.98,0.83,200.07,10.21,62.12,51.76,0.0,-0.34,3272,fitness
2.1,4.86,3.93,9.0,0.84,5.34,4.26,444.31,85.31,0.82,190.48,10.43,62.22,51.94,0.0,-0.64,3517,fitness
3.21,5.13,8.61,9.0,0.93,7.29,4.08,435.6,84.04,0.8,170.17,11.2,64.84,54.26,0.0,-1.54,2493,fitness
1.33,5.15,6.55,9.0,1.16,3.55,4.03,429.68,73.44,0.79,173.52,10.62,62.67,52.03,0.0,-0.99,988,fitness
