,edge,flow,density
774,-253268325#1,0.0,0
775,-253268325#2,0.0,0
776,-253268325#3,0.0,0
777,-253268325#4,0.0,0
778,-253268326,0.0,0
779,-253268327,0.0,0
780,-253268328,0.0,0
781,-253268329,0.0,0
782,-253268330#0,0.0,0
783,-253268330#1,0.0,0
784,-253268330#3,0.0,0
785,-253272375#0,10.72,0.33
786,-253272375#1,9.89,0.22
787,-253272379,0.0,0
788,-253273630,0.0,0
789,-253275178#1,1.65,0.13
790,-253275179#0,0.0,0
791,-253275179#1,0.0,0
792,-253275181,0.0,0
793,-255973733#0,101.4,3.93
794,-255973733#1,101.4,2.39
795,-255973733#2,108.82,2.3
796,-255973733#3,105.52,2.16
797,-255973733#4,106.34,2.34
798,-255973733#5,39.57,1.71
799,-255973733#6,46.16,1.08
800,-255973733#7,45.34,1.08
801,-255973733#8,48.64,1.46
802,-255973733#9,51.11,1.24
803,-255973752#0,36.27,0.64
804,-255973752#1,32.97,0.68
805,-255973752#2,29.68,0.67
806,-255973752#4,0.0,0.14
807,-265149485#0,2.47,0.06
808,-265149485#1,1.65,0.12
809,-265149485#2,0.0,0.14
810,-265353020#0,13.19,0.66
811,-265353020#1,13.19,0.78
812,-267466899#0,3.3,0.48
813,-267466899#1,0.0,0
814,-267466899#2,0.82,0.04
815,-267466899#3,0.82,0.03
816,-282168226,10.72,0.87
817,-294774642#0,4.12,0.07
818,-294774642#1,4.95,0.1
819,-294774832,0.0,0
820,-314153597#1,64.3,3.05
821,-314153599#1,122.01,4.0
822,-314153599#2,105.52,2.24
823,-314153602#1,134.37,3.17
824,-314153602#2,130.25,3.39
825,-314153602#3,132.72,145.44
826,-314153605#0,59.35,1.57
827,-314153605#1,61.0,1.31
828,-314153605#2,46.16,0.73
829,-314153605#3,45.34,0.86
830,-321760061#0,80.79,1.61
831,-321760074#0,0.0,0
832,-321760074#1,0.0,0
833,-325021549,1.65,0.09
834,-339859630,0.0,0.18
835,-339859632#0,7.42,0.88
836,-339859633#0,5.77,0.22
837,-339859633#1,6.59,0.62
838,-339859633#2,5.77,0.42
839,-361221973#1,78.31,2.29
840,-361221973#2,56.88,1.17
841,-361221973#3,49.46,0.94
842,-361221973#4,45.34,1.1
843,-361221974#0,37.1,1.29
844,-361221974#1,38.75,1.39
845,-361221974#2,35.45,1.21
846,-361221974#3,32.97,1.26
847,-361221974#4,37.1,1.08
848,-361221974#5,42.04,1.56
849,-361221974#6,7.42,1.53
850,-361221974#7,5.77,0.2
851,-361221974#8,6.59,0.19
852,-361221974#9,9.07,0.26
853,-361221975#0,79.14,2.52
854,-361221975#1,80.79,1.84
855,-361221975#2,86.56,2.09
856,-361221975#4,89.03,42.9
857,-361221975#5,93.15,1.89
858,-361221976#0,15.66,0.98
859,-361221976#1,14.01,0.39
860,-361221976#2,14.01,1.39
861,-361221976#3,0.0,0.02
862,-361221976#6,10.72,0.34
863,-361222003#0,4.12,0.07
864,-361222003#1,23.08,0.71
865,-361222003#10,49.46,1.34
866,-361222003#2,26.38,0.63
867,-361222003#3,34.62,0.84
868,-361222003#4,36.27,0.8
869,-361222003#5,37.1,1.25
870,-361222003#6,46.99,1.15
871,-361222003#7,49.46,1.64
872,-361222003#8,48.64,0.99
873,-361222003#9,48.64,0.94
874,-364548803#1,0.0,0
875,-364560414#0,0.0,0
876,-364560414#1,0.0,0
877,-364560415#0,0.0,0
878,-364560415#1,0.0,0
879,-364560415#2,0.0,0
880,-364560415#3,0.0,0
881,-364561794,0.0,0
882,-364561795,0.0,0
883,-364561797#0,0.0,0
884,-364561797#1,0.0,0
885,-379617533,0.0,0
886,-389318890#1,21.43,0.75
887,-389318890#4,12.37,0.42
888,-389592520#0,23.08,2.23
889,-389592520#1,23.08,0.86
890,-389592520#2,16.49,0.52
891,-389601325#0,0.0,0
892,-389601325#1,0.0,0
893,-389609334#0,0.0,0
894,-389609334#1,0.0,0
895,-389609335#0,0.0,0
896,-389609335#1,0.0,0
897,-389609335#2,0.0,0
898,-389609335#3,0.0,0
899,-389609336#0,0.0,0
900,-389609336#1,0.0,0
901,-389609337#0,0.0,0
902,-389609337#1,0.0,0
903,-389609337#2,0.0,0
904,-389609338,0.0,0
905,-389609339,0.0,0
906,-389609343#0,0.0,0
907,-389609343#1,0.0,0
908,-389609343#2,0.0,0
909,-389609344,0.0,0
910,-389609346#1,0.0,0
911,-389609346#2,0.0,0
912,-389609346#3,0.0,0
913,-389609346#4,0.0,0
914,-389609347#0,0.0,0
915,-389609347#1,0.0,0
916,-389609348,0.0,0
917,-389621489#1,7.42,0.33
918,-389621489#2,4.95,0.27
919,-389621489#3,1.65,0.2
920,-389621489#4,3.3,0.2
921,-389628462,0.0,0
922,-389707144,0.0,0
923,-389708960,0.0,0
924,-437690574#0,3.3,0.05
925,-437690574#1,28.03,0.65
926,-437690574#2,29.68,0.56
927,-474072165#0,84.91,1.28
928,-474072165#1,112.11,1.97
929,-474072165#2,140.97,2.95
930,-514049372#0,4.12,0.1
931,-514049373,1.65,0.05
932,-514049375#0,24.73,1.07
933,-514049375#2,19.78,0.52
934,-51724094#1,34.62,1.08
935,-51724094#2,22.26,0.34
936,-51724094#3,22.26,0.68
937,-51724097#1,14.84,1.34
938,-51724098#0,25.56,2.73
939,-51724098#2,17.31,0.39
940,-51724099,25.56,1.42
941,-51724102#0,9.07,0.13
942,-51724102#1,25.56,0.61
943,-51724102#2,31.33,0.53
944,-51724102#3,40.39,1.18
945,-548159331#0,0.0,0
946,-548159331#1,0.0,0
947,-548159331#2,0.0,0
948,-548159332,0.0,0
949,-575306227#0,7.42,0.54
950,-575306227#1,0.0,0.16
951,-575311348,0.0,0
952,-575311350#1,0.0,0
953,-575311350#2,0.0,0
954,-575311352,0.0,0
955,-575317195#0,0.0,0
956,-575317195#1,0.0,0
957,-575317195#2,0.0,0
958,-575317196#0,0.0,0
959,-575317196#1,0.0,0
960,-575317196#2,0.0,0
961,-575317196#3,0.0,0
962,-575317196#4,0.0,0
963,-575317198,0.0,0
964,-575320067,0.0,0
965,-575371317,0.0,0
966,-575371319#0,0.0,0
967,-575371319#1,0.0,0
968,-575371321,0.0,0
969,-575371322,0.0,0
970,-575371324,0.0,0
971,-575371325,0.0,0
972,-575371327,0.0,0
973,-575371328,0.0,0
974,-575371329,0.0,0
975,-575371330#0,0.0,0
976,-575371330#1,0.0,0
977,-575371331,0.0,0
978,-575371332,0.0,0
979,-575371333,0.0,0
980,-575371334#0,0.0,0
981,-575371334#1,0.0,0
982,-575371335#0,0.0,0
983,-575371335#1,0.0,0
984,-575371335#2,0.0,0
985,-575371336,0.0,0
986,-575371337,0.0,0
987,-575371338#0,0.0,0
988,-575371338#1,0.0,0
989,-575371339,0.0,0
990,-575371340,0.0,0
991,-575372502#0,0.0,0
992,-575372502#1,0.0,0
993,-575372504,0.0,0
994,-575372506,0.0,0
995,-575372508,0.0,0
996,-575372510#0,0.0,0
997,-575372510#1,0.0,0
998,-575372510#2,0.0,0
999,-575372510#3,0.0,0
1000,-575372512#0,9.89,0.48
1001,-575372512#1,1.65,0.11
1002,-575372512#2,1.65,0.08
1003,-575372512#3,0.82,0.18
1004,-575372512#4,2.47,0.15
1005,-575374589#0,0.0,0
1006,-575374589#1,0.0,0
1007,-575389002,0.0,0
1008,-575389178#1,23.08,3.09
1009,-575389179,211.86,4.08
1010,-575389180#1,232.47,101.75
1011,-575389180#2,225.88,87.89
1012,-575389180#3,227.52,28.37
1013,-575390995#0,133.55,3.02
1014,-575390995#1,130.25,5.71
1015,-611610487#0,0.0,0
1016,-611610487#1,0.0,0
1017,-611621553#0,0.0,0
1018,-611621553#1,0.0,0
1019,-611621554#1,0.0,0
1020,-611621555#0,0.0,0
1021,-611621555#1,0.0,0
1022,-611621556#0,0.0,0
1023,-611621556#1,0.0,0
1024,-611621556#2,0.0,0
1025,-611621558,0.0,0
1026,-631627328,0.0,0
1027,-631627329,0.0,0
1028,-631627330,0.0,0
1029,-631628541,0.0,0
1030,-631628542,0.0,0
1031,-631629078#0,0.0,0
1032,-631629078#1,0.0,0
1033,-631629079,0.0,0
1034,-631634872,0.0,0.06
1035,-637038338#0,3.3,0.19
1036,-637038338#1,4.12,0.1
1037,-637038338#2,3.3,0.21
1038,-637038338#3,2.47,0.14
1039,-637038338#4,4.95,0.23
1040,-637038338#5,4.12,0.11
1041,-637038338#6,0.0,0.06
1042,-682782073,0.0,0
1043,-682782074#0,0.0,0
1044,-682782074#1,0.0,0
1045,-682782074#2,0.0,0
1046,-682782074#3,0.0,0
1047,-688535331#0,9.07,0.29
1048,-688535331#1,9.07,0.23
1049,-712076414#0,3.3,0.09
1050,-712076414#1,5.77,0.36
1051,-712076414#2,8.24,0.33
1052,-712076414#3,9.89,0.36
1053,-712076414#4,18.96,0.66
1054,-724609205,0.0,0
1055,-724609206,0.0,0
1056,-748906478#0,155.8,292.5
1057,-748906478#1,157.45,40.51
1058,-752304638#0,0.0,0
1059,-752304638#1,0.0,0
1060,-752304639#1,0.0,0
1061,-754522151#0,0.0,0
1062,-754522151#1,0.0,0
1063,-754522151#2,0.0,0
1064,-754522151#3,0.0,0
1065,-754522152#0,0.0,0
1066,-754522152#1,0.0,0
1067,-754522152#2,0.0,0
1068,-754522153#0,0.0,0
1069,-754522153#1,0.0,0
1070,-755795648,0.0,0
1071,-755795649,0.0,0
1072,-755795650,0.0,0
1073,-755795651,0.0,0
1074,-755804631,0.0,0
1075,-755804632,0.0,0
1076,-755804633#0,0.0,0
1077,-755804633#1,0.0,0
1078,-755804633#2,0.0,0
1079,-755804634#1,0.0,0
1080,-755804635,0.0,0
1081,-756596351#0,2.47,0.1
1082,-756596351#1,12.37,0.49
1083,-756596351#2,9.89,0.43
1084,-756596351#3,14.84,0.53
1085,-756596351#4,16.49,0.56
1086,-756596351#5,22.26,0.7
1087,-761149834#0,0.0,0
1088,-761149834#1,0.0,0
1089,-761149835,0.0,0
1090,-761186294#0,0.0,0
1091,-761186294#1,0.0,0
1092,-761186294#2,0.0,0
1093,-761186295#0,0.0,0
1094,-761186295#1,0.0,0
1095,-761186296#0,0.0,0
1096,-761186296#1,0.0,0
1097,-761186297,0.0,0
1098,-765572299#0,0.0,0
1099,-765572299#1,0.0,0
1100,-765572299#2,0.0,0
1101,-765572299#3,0.0,0
1102,-765572300#0,0.0,0
1103,-766263907#1,0.0,0
1104,-766263907#2,0.0,0
1105,-766263908#0,0.0,0
1106,-766263908#1,0.0,0
1107,-766811706#0,0.0,0
1108,-766811706#1,0.0,0
1109,-766811706#2,0.0,0
1110,-771278911,0.0,0
1111,-781773301#1,0.0,0
1112,-800316007,0.0,0
1113,-811850140,0.0,0
1114,-826123710#0,0.0,0
1115,-826123710#1,0.0,0
1116,-826123710#2,0.0,0
1117,-826123711#0,0.0,0
1118,-826123711#1,0.0,0
1119,-826123712#0,0.0,0
1120,-826123712#1,0.0,0
1121,-826123713,0.0,0
1122,-827503949#0,0.0,0
1123,-827503950#1,0.0,0
1124,-827503951#0,0.0,0
1125,-827503951#1,0.0,0
1126,-827503951#2,0.0,0
1127,-827503951#3,0.0,0
1128,-827503956#0,0.0,0
1129,-827503956#1,0.0,0
1130,-827503968,0.0,0
1131,-827503982,0.0,0
1132,-827503989,0.0,0
1133,-827879058,0.82,0.02
1134,-828242548,0.0,0
1135,-828242558#0,0.0,0
1136,-828242558#1,0.0,0
1137,-828242558#2,0.0,0
1138,-828242559,0.0,0
1139,-828242562#0,0.0,0
1140,-828242562#1,0.0,0
1141,-828242562#2,0.0,0
1142,-828242562#3,0.0,0
1143,-828242562#4,0.0,0
1144,-828242563#0,0.0,0
1145,-828242563#1,0.0,0
1146,-828242565,0.0,0
1147,-828242567#0,0.0,0
1148,-828242567#1,0.0,0
1149,-828242573,0.0,0
1150,-828242580,0.0,0
1151,-838432450,0.0,0
1152,-839212255#0,0.0,0
1153,-839212255#1,0.0,0
1154,-839212256,0.0,0
1155,-846104440,0.0,0
1156,-846104442#0,0.0,0
1157,-846104442#1,0.0,0
1158,-846104443,0.0,0
1159,-846104444#0,0.0,0
1160,-846104444#1,0.0,0
1161,-846104444#3,0.0,0
1162,-846104448,0.0,0
1163,-847499405,0.0,0
1164,-882225598#1,0.0,0
1165,-895459370#0,0.0,0
1166,-895459370#1,0.0,0
1167,-895459371,0.0,0
1168,-896413403#0,0.0,0
1169,-896413403#1,0.0,0
1170,-896413403#2,0.0,0
1171,-896413404,0.0,0
1172,-896413405,0.0,0
1173,-896413406,0.0,0
1174,-896463495#1,0.0,0
1175,-896585371#0,0.0,0
1176,-896585371#1,0.0,0
1177,-896585371#2,0.0,0
1178,-896585374,0.0,0
1179,-896978417#0,0.0,0
1180,-896978417#1,0.0,0
1181,-896978417#2,0.0,0
1182,-896978418,0.0,0
1183,-896978419#1,0.0,0
1184,-903775177,0.0,0
1185,-903775178,0.0,0
1186,-903775179,0.0,0
1187,-903775180#0,0.0,0
1188,-903775180#1,0.0,0
1189,-903775180#2,0.0,0
1190,-903775181,0.0,0
1191,-903775182#0,0.0,0
1192,-903775182#1,0.0,0
1193,-903775183,0.0,0
1194,-903775184#0,0.0,0
1195,-903775184#1,0.0,0
1196,-903775185,0.0,0
1197,-903779412,0.0,0
1198,-903779413,0.0,0
1199,-903779414#0,0.0,0
1200,-903779414#1,0.0,0
1201,-903779414#2,0.0,0
1202,-903826148,0.0,0
1203,-903858689,0.0,0
1204,-903858690,1.65,0.05
1205,-903858691#0,0.0,0
1206,-903858691#1,0.0,0
1207,-903858691#2,0.0,0
1208,-903858691#3,0.0,0
1209,-903858691#4,0.0,0
1210,-903858692#0,0.0,0
1211,-903858692#1,0.0,0
1212,-903858692#2,0.0,0
1213,-903858693,0.0,0
1214,-903858694,0.0,0
1215,-903858695,0.0,0
1216,-903858696,0.0,0
1217,-903858697#0,0.0,0
1218,-903858697#1,0.0,0
1219,-903858697#2,0.0,0
1220,-903858698#0,0.0,0
1221,-903858698#1,0.0,0
1222,-903858698#2,0.0,0
1223,-903858701,0.0,0
1224,-903858707#0,0.0,0
1225,-903858707#1,0.0,0
1226,-903858708,0.0,0
1227,-903858709,0.0,0
1228,-903858710,0.0,0
1229,-903858711,0.0,0
1230,-903858712,0.0,0
1231,-903858714#0,0.0,0
1232,-903858714#1,0.0,0
1233,-903950804,0.0,0
1234,-903950805,0.0,0
1235,-903991250#0,0.0,0
1236,-903991250#1,0.0,0
1237,-903991250#2,0.0,0
1238,-903991252#0,0.0,0
1239,-904007339,0.0,0
1240,-904007340#0,0.0,0
1241,-904007340#1,0.0,0
1242,-904007341,0.0,0
1243,-904007342#0,0.0,0
1244,-904007342#1,0.0,0
1245,-904007342#2,0.0,0
1246,-904007343,0.0,0
1247,-904007344,0.0,0
1248,-904016872#0,0.0,0
1249,-904016872#1,0.0,0
1250,-904016873#0,0.0,0
1251,-904016873#1,0.0,0
1252,-904139728,0.0,0
1253,-904399853#0,0.0,0
1254,-904399853#1,0.0,0
1255,-904399854,0.0,0
1256,-904605181#0,0.0,0
1257,-904605186,0.0,0
1258,-904605189,79.96,1.66
1259,-904605196,0.0,0
1260,-904607124#0,0.0,0
1261,-904607126,0.0,0
1262,-904622812#0,53.58,1.25
1263,-904622812#1,46.16,2.66
1264,-904622812#2,45.34,1.87
1265,-904622812#3,45.34,1.5
1266,-904622812#4,20.61,0.83
1267,-904622814#0,46.99,4.64
1268,-904622814#1,46.99,1.69
1269,-904622814#2,46.16,1.26
1270,-904622814#6,56.06,2.18
1271,-904622814#7,54.41,1.63
1272,-904622816#0,8.24,0.75
1273,-904622816#1,8.24,0.37
1274,-904622816#2,8.24,0.49
1275,-904622816#3,9.89,0.43
1276,-904622818#0,9.07,1.83
1277,-904622818#1,9.07,0.46
1278,-904622818#2,8.24,0.36
1279,-904622818#3,8.24,0.31
1280,-904622818#4,9.07,1.52
1281,-904622818#5,6.59,0.28
1282,-904622820,4.12,0.11
1283,-904622822#0,15.66,0.66
1284,-904622822#1,17.31,0.39
1285,-904622822#2,18.14,0.41
1286,-904622822#3,22.26,0.51
1287,-904622822#4,31.33,0.66
1288,-904622822#5,31.33,0.61
1289,-904622822#6,32.15,0.78
1290,-904622823#0,3.3,0.17
1291,-904622823#1,1.65,0.07
1292,-904622823#2,2.47,0.34
1293,-904905420,0.0,0
1294,-904925976,0.0,0
1295,-904931978,0.0,0
1296,-904945539,0.0,0
1297,-904971643,0.0,0
1298,-904986216,0.0,0
1299,-904986217,0.0,0
1300,-904986218#0,0.0,0
1301,-904986218#1,0.0,0
1302,-904986218#2,0.0,0
1303,-904986219,0.0,0
1304,-905122701,0.0,0
1305,-905270872#0,0.0,0
1306,-905270872#1,0.0,0
1307,-905270872#2,0.0,0
1308,-905646840#0,11.54,0.66
1309,-905646842#0,7.42,0.12
1310,-905646842#1,4.12,0.35
1311,-905789620,0.0,0
1312,-906383521,0.0,0.1
1313,-906383522#0,13.19,0.28
1314,-906384969#0,0.0,0
1315,-906384969#1,0.0,0
1316,-906384970,0.0,0
1317,-906384971,0.0,0
1318,-906384972,0.0,0
1319,-906403354#0,0.0,0
1320,-906403354#1,0.0,0
1321,-906405840,0.0,0
1322,-906405842,2.47,0.1
1323,-906405844,3.3,0.08
1324,-906415642#0,0.0,0
1325,-906415642#1,0.0,0
1326,-906415650,0.0,0
1327,-906415651,0.0,0
1328,-906419457#0,0.0,0
1329,-906419457#1,0.0,0
1330,-906419458,0.0,0
1331,-906419459#0,0.0,0
1332,-906419459#1,0.0,0
1333,-906419460#0,0.0,0
1334,-906419460#1,0.0,0
1335,-906419461#0,1.65,0.04
1336,-906419461#1,3.3,0.25
1337,-906419465#0,8.24,0.3
1338,-906419465#1,9.89,0.27
1339,-906419465#2,10.72,0.54
1340,-906419465#3,9.89,0.51
1341,-906420784,0.0,0.26
1342,-906425993#0,37.92,1.23
1343,-906425993#1,37.1,0.75
1344,-906425993#2,37.1,0.94
1345,-906425993#3,41.22,0.85
1346,-906425993#4,39.57,0.87
1347,-906425994,84.09,1.91
1348,-906427581,0.0,0
1349,-906427582#0,0.0,0
1350,-906700197#0,13.19,1.04
1351,-906700198#1,65.95,1.76
1352,-906700198#2,64.3,2.12
1353,-906700199#0,36.27,2.56
1354,-906700199#1,37.92,1.79
1355,-906700199#2,39.57,1.46
1356,-906700200#1,19.78,1.67
1357,-906700200#2,18.14,0.93
1358,-906700200#3,18.14,0.8
1359,-906700200#4,17.31,0.55
1360,-906700200#5,18.14,0.7
1361,-906700200#6,15.66,0.69
1362,-906700200#7,16.49,0.62
1363,-906700200#8,15.66,0.52
1364,-906700200#9,18.14,0.71
1365,-906700206#0,79.14,2.26
1366,-906700206#1,80.79,1.92
1367,-906700206#2,84.09,2.22
1368,-906700206#3,85.73,2.31
1369,-906700206#4,90.68,3.62
1370,-906700206#5,93.98,2.73
1371,-906700207#0,84.09,1.59
1372,-906700207#1,84.09,1.84
1373,-906700208#0,62.65,1.26
1374,-906700208#1,65.12,1.27
1375,-906700208#2,66.77,1.55
1376,-906700208#3,68.42,1.35
1377,-906700208#4,68.42,1.35
1378,-906700208#5,84.09,2.21
1379,-906700208#7,84.09,2.17
1380,-906700209#0,10.72,1.04
1381,-906700209#1,9.89,0.56
1382,-906700212,0.82,0.09
1383,-906700213#0,0.0,0
1384,-906700213#1,0.0,0
1385,-906700215#0,188.78,8.87
1386,-906700215#1,192.9,4.77
1387,-906700215#2,190.43,5.0
1388,-906839017#2,80.79,2.08
1389,-906844744,24.73,0.66
1390,-906844749#0,18.96,1.75
1391,-906844749#1,14.84,0.66
1392,-906844750#1,12.37,0.52
1393,-906844750#2,30.5,0.88
1394,-906856904,148.39,3.92
1395,-906862821#1,0.0,0
1396,-906939330,29.68,1.39
1397,-906939350,6.59,0.09
1398,-906939351#0,23.08,0.43
1399,-906939351#1,24.73,0.49
1400,-906939351#2,27.2,0.59
1401,-906939352#0,9.07,0.34
1402,-906939352#1,5.77,0.18
1403,-906939353#0,49.46,1.11
1404,-906939353#1,56.88,1.43
1405,-906939354,4.12,0.1
1406,-906939355,3.3,0.07
1407,-906939356,13.19,0.42
1408,-906939357#0,37.1,0.96
1409,-906939357#2,37.1,0.86
1410,-906939357#3,37.1,1.34
1411,-906939357#4,37.92,0.86
1412,-906939357#5,37.1,1.28
1413,-906939357#6,37.1,0.94
1414,-906939358#0,18.14,1.5
1415,-906939358#1,17.31,0.54
1416,-906939358#2,14.01,0.7
1417,-906939358#3,14.01,0.63
1418,-906939358#4,14.01,12.93
1419,-906939358#5,26.38,32.52
1420,-906939358#6,22.26,0.74
1421,-906939358#7,22.26,0.93
1422,-906939361,13.19,0.48
1423,-906939362,0.0,0
1424,-906939363,5.77,0.24
1425,-906939364,13.19,0.6
1426,-906939365#2,18.14,0.7
1427,-906939365#3,18.14,0.47
1428,-906941962,0.0,0
1429,-906941963,0.0,0
1430,-907113119,0.0,0
1431,-907120302,0.0,0
1432,-907124732#1,0.0,0.02
1433,-911248050#0,20.61,1.4
1434,-911248050#1,18.96,0.73
1435,-911251945#0,12.37,0.37
1436,-911251945#1,12.37,0.39
1437,-911258378#0,8.24,0.29
1438,-911258378#1,9.07,0.31
1439,-911258378#2,9.89,0.49
1440,-911258378#3,61.0,2.08
1441,-911258378#4,61.83,2.12
1442,-911258378#5,62.65,2.26
1443,-911258379#0,9.07,0.27
1444,-911258379#1,5.77,0.25
1445,-911258379#2,4.12,0.18
1446,-911258380#0,2.47,0.17
1447,-911258380#2,3.3,0.12
1448,-911258380#3,5.77,0.22
1449,-911258380#4,3.3,0.07
1450,-911258380#5,8.24,0.23
1451,-912613952#0,1.65,0.19
1452,-912613952#1,3.3,0.29
1453,-912613953#0,15.66,1.01
1454,-912613953#1,15.66,0.96
1455,-912613969#0,18.14,0.55
1456,-917237325#1,0.0,0
1457,-917237325#2,0.0,0
1458,-917237325#3,0.0,0
1459,-917237325#4,0.0,0
1460,-917237326#1,0.0,0
1461,-917237326#2,0.0,0
1462,-917237326#4,0.0,0
1463,-917237326#5,0.0,0
1464,16719067,0.0,0
1465,16719213#0,0.0,0
1466,16719213#1,0.0,0
1467,16719213#2,0.0,0
1468,16719698#0,0.0,0
1469,16719698#1,0.0,0
1470,16720136#1,0.0,0
1471,16720145#0,0.0,0
1472,16720145#1,1.65,0.05
1473,16720242#0,0.0,0
1474,16720242#1,0.0,0
1475,16720242#2,0.0,0
1476,16720478,0.0,0
1477,16720964,0.0,0
1478,16721105,4.12,0.12
1479,16721125#0,6.59,0.31
1480,16721125#1,5.77,0.15
1481,16721128#0,7.42,0.2
1482,16721128#1,0.82,0.03
1483,16721128#2,0.0,0.05
1484,16721128#3,0.0,0
1485,16721196#0,4.12,0.13
1486,16721196#3,1.65,0.08
1487,16721196#4,2.47,0.32
1488,16721196#6,20.61,0.67
1489,16721196#7,18.96,0.91
1490,16721196#8,4.12,0.11
1491,16721208,0.0,0.12
1492,16721382#0,0.0,0.13
1493,16721382#1,5.77,0.32
1494,16721382#2,3.3,0.11
1495,16721382#4,5.77,0.23
1496,16721382#5,8.24,0.27
1497,16721382#6,5.77,0.16
1498,16721382#7,0.0,0
1499,16721393,3.3,0.08
1500,16721404#0,4.95,0.25
1501,16721404#1,7.42,0.24
1502,16721404#2,17.31,0.7
1503,16721404#3,17.31,0.46
1504,16721404#4,11.54,0.31
1505,16721404#5,10.72,1.03
1506,16721576#0,0.0,0.05
1507,16721576#1,11.54,0.41
1508,16721682,1.65,0.05
1509,16721684#1,0.0,0
1510,16721684#2,4.12,0.25
1511,16721684#3,2.47,0.07
1512,16721687#0,4.12,0.2
1513,16721699#1,22.26,0.93
1514,16721699#2,21.43,0.81
1515,16721699#3,23.08,0.63
1516,16721699#4,29.68,1.23
1517,16721739,0.0,0.03
1518,16721742#0,7.42,0.31
1519,16721742#1,6.59,0.35
1520,16721785,0.0,0.11
1521,16721791#1,5.77,1.51
1522,16721791#2,6.59,0.17
1523,16721791#3,5.77,3.39
1524,16721791#4,5.77,1.04
1525,16721792#1,10.72,0.29
1526,16721822#0,0.0,0.04
1527,16721822#1,4.12,0.27
1528,16721885#0,0.82,0.02
1529,16721885#1,9.07,0.25
1530,16721885#2,9.07,0.65
1531,16721910,4.95,0.14
1532,16722050,5.77,0.36
1533,16722134#0,0.0,0.04
1534,16722134#1,2.47,0.15
1535,16722175,7.42,0.23
1536,16722232,4.12,0.11
1537,16722253#0,3.3,0.07
1538,16722253#1,1.65,0.03
1539,16722302#1,10.72,0.55
1540,16722318,3.3,0.12
1541,16722369#1,16.49,0.46
1542,16722369#10,17.31,0.41
1543,16722369#11,40.39,1.11
1544,16722369#12,41.22,1.3
1545,16722369#13,39.57,3.6
1546,16722369#2,17.31,0.59
1547,16722369#3,18.14,0.67
1548,16722369#4,18.14,0.72
1549,16722369#6,17.31,0.42
1550,16722369#7,17.31,0.77
1551,16722369#8,17.31,0.64
1552,16722369#9,18.14,0.41
